Sample,FunctionalGroup,JSD
IFCB1_2009_206_005118,Other,0.115931680563928
IFCB1_2009_211_153356,Ciliate,
IFCB1_2009_211_153356,Diatom,0.40065824459833826
IFCB1_2009_211_153356,Dinoflagellata,0.2191338679816806
IFCB1_2009_211_153356,Flagellate,0.029102475966903903
IFCB1_2009_211_153356,Other,0.11459020743024116
IFCB1_2009_211_155256,Ciliate,
IFCB1_2009_211_155256,Diatom,0.4480520289258001
IFCB1_2009_211_155256,Dinoflagellata,
IFCB1_2009_211_155256,Flagellate,0.0391982936800298
IFCB1_2009_211_155256,Other,
IFCB1_2009_211_155709,Ciliate,
IFCB1_2009_211_155709,Diatom,0.4125483134398381
IFCB1_2009_211_155709,Dinoflagellata,0.24271224102715547
IFCB1_2009_211_155709,Flagellate,0.033933719839798135
IFCB1_2009_211_155709,Other,0.13378112073509216
IFCB1_2009_211_161515,Ciliate,
IFCB1_2009_211_161515,Diatom,0.4274890058666495
IFCB1_2009_211_161515,Dinoflagellata,
IFCB1_2009_211_161515,Flagellate,0.04906971634534079
IFCB1_2009_211_161515,Other,0.14591036294094645
IFCB1_2009_211_162022,Ciliate,
IFCB1_2009_211_162022,Diatom,0.42103512787834196
IFCB1_2009_211_162022,Dinoflagellata,0.26369591611191384
IFCB1_2009_211_162022,Flagellate,0.035264420826041455
IFCB1_2009_211_162022,Other,0.09218029982395536
IFCB1_2009_211_163909,Ciliate,
IFCB1_2009_211_163909,Diatom,0.430658168930312
IFCB1_2009_211_163909,Dinoflagellata,
IFCB1_2009_211_163909,Flagellate,0.0391982936800298
IFCB1_2009_211_163909,Other,
IFCB1_2009_215_000240,Ciliate,
IFCB1_2009_215_000240,Diatom,0.39440403257494255
IFCB1_2009_215_000240,Dinoflagellata,
IFCB1_2009_215_000240,Flagellate,0.0391982936800298
IFCB1_2009_215_000240,Other,0.1016160864763741
IFCB1_2009_215_002526,Ciliate,
IFCB1_2009_215_002526,Diatom,0.4077339629473099
IFCB1_2009_215_002526,Dinoflagellata,0.24275483824226815
IFCB1_2009_215_002526,Flagellate,0.0391982936800298
IFCB1_2009_215_002526,Other,0.17272211711443905
IFCB1_2009_215_004836,Ciliate,
IFCB1_2009_215_004836,Diatom,0.4560051299167349
IFCB1_2009_215_004836,Dinoflagellata,
IFCB1_2009_215_004836,Flagellate,0.0391982936800298
IFCB1_2009_215_004836,Other,0.14591036294094645
IFCB1_2009_224_161052,Ciliate,
IFCB1_2009_224_161052,Diatom,0.5513773177457028
